Cl.Ord.ID,Instrument,Side,Quantity,Price
ord0783,Tulip,2,500,31.7
ord0784,Orchid,1,1000,68.0
ord0785,Tulip,2,770,31.3
ord0786,Lavender,1,860,32.5
ord0787,Lotus,1,50,39.4
ord0788,Lotus,2,100,48.2
ord0789,Tulip,2,530,42.3
ord0790,Lotus,1,870,44.3
ord0791,Rose,1,110,59.6
ord0792,Tulip,2,740,42.6
ord0793,Rose,1,140,61.3
ord0794,Rose,1,650,69.2
ord0795,Tulip,2,390,42.8
ord0796,Tulip,1,40,32.5
ord0797,Lavender,1,710,20.9
ord0798,Tulip,1,310,26.5
ord0799,Lavender,1,120,27.4
ord0800,Lotus,1,60,31.7
ord0801,Lotus,2,770,45.1
ord0802,Orchid,1,810,65.9
ord0803,Rose,1,690,70.3
ord0804,Orchid,2,270,88.1
ord0805,Tulip,1,230,39.0
ord0806,Lotus,1,800,39.6
ord0807,Tulip,1,240,31.3
ord0808,Lavender,2,940,26.3
ord0809,Rose,2,400,47.2
ord0810,Lavender,1,10,28.7
ord0811,Lotus,1,780,49.8
ord0812,Lotus,2,690,35.1
ord0813,Lavender,2,340,35.5
ord0814,Lotus,2,790,44.7
ord0815,Rose,1,480,69.9
ord0816,Orchid,2,970,87.8
ord0817,Rose,2,530,68.7
ord0818,Tulip,1,500,38.9
ord0819,Tulip,1,650,36.7
ord0820,Lavender,2,170,40.0
ord0821,Rose,1,770,54.5
ord0822,Lotus,1,110,46.2
ord0823,Rose,2,250,77.9
ord0824,Lotus,1,250,54.9
ord0825,Tulip,2,890,30.0
ord0826,Lavender,2,670,28.4
ord0827,Tulip,1,450,41.2
ord0828,Orchid,1,910,61.0
ord0829,Orchid,1,90,74.3
ord0830,Orchid,2,760,57.8
ord0831,Orchid,1,160,97.5
ord0832,Lotus,2,530,37.6
ord0833,Lotus,1,290,48.4
ord0834,Lavender,1,610,48.4
ord0835,Tulip,2,750,19.6
ord0836,Orchid,1,620,97.7
ord0837,Lotus,2,670,42.8
ord0838,Tulip,1,250,26.5
ord0839,Lavender,2,920,34.8
ord0840,Tulip,2,440,15.1
ord0841,Rose,1,940,50.5
ord0842,Lotus,1,280,43.3
ord0843,Rose,2,500,61.5
ord0844,Lotus,2,60,33.0
ord0845,Lotus,2,380,41.7
ord0846,Lotus,2,920,37.7
ord0847,Lotus,1,690,52.0
ord0848,Rose,2,410,64.8
ord0849,Orchid,2,180,73.9
ord0850,Tulip,2,1000,26.8
ord0851,Orchid,1,690,57.9
ord0852,Lavender,1,960,44.7
ord0853,Orchid,2,330,54.3
ord0854,Lavender,1,60,42.6
ord0855,Lotus,1,940,52.6
ord0856,Tulip,2,80,32.5
ord0857,Orchid,2,100,97.1
ord0858,Lotus,2,660,37.2
ord0859,Orchid,2,80,83.8
ord0860,Rose,1,470,67.3
ord0861,Rose,2,750,42.2
ord0862,Lotus,1,880,36.5
ord0863,Rose,1,540,41.8
ord0864,Tulip,2,460,25.8
ord0865,Lotus,1,250,31.3
ord0866,Lotus,1,700,54.7
ord0867,Lavender,1,150,36.4
ord0868,Orchid,2,930,86.7
ord0869,Rose,2,440,42.7
ord0870,Rose,1,190,78.4
ord0871,Rose,1,100,61.9
ord0872,Rose,1,760,56.0
ord0873,Rose,2,430,77.7
ord0874,Orchid,1,760,93.9
ord0875,Lotus,1,570,33.3
ord0876,Tulip,1,880,16.9
ord0877,Lotus,1,620,57.5
ord0878,Rose,1,160,60.2
ord0879,Rose,1,780,48.9
ord0880,Orchid,1,280,83.5
ord0881,Lavender,1,870,35.9
ord0882,Orchid,1,900,50.5
ord0883,Orchid,2,580,72.7
ord0884,Rose,2,880,67.4
ord0885,Tulip,2,530,32.5
ord0886,Tulip,2,60,29.1
ord0887,Lotus,2,920,43.6
ord0888,Tulip,1,100,17.3
ord0889,Rose,2,120,78.6
ord0890,Rose,1,330,44.2
ord0891,Orchid,2,200,76.5
ord0892,Tulip,2,890,24.2
ord0893,Rose,1,570,75.9
ord0894,Orchid,2,560,61.2
ord0895,Lotus,2,770,59.2
ord0896,Orchid,2,360,52.7
ord0897,Lavender,1,430,34.3
ord0898,Lotus,1,770,41.8
ord0899,Tulip,1,820,17.1
ord0900,Rose,2,250,78.7
ord0901,Lotus,2,830,51.5
ord0902,Rose,2,900,41.3
ord0903,Rose,2,670,68.4
ord0904,Rose,1,550,52.1
ord0905,Orchid,2,670,75.4
ord0906,Orchid,2,750,62.0
ord0907,Lavender,1,680,29.8
ord0908,Lavender,1,740,36.7
ord0909,Lavender,2,450,20.0
ord0910,Tulip,1,560,31.8
ord0911,Lavender,1,180,40.8
ord0912,Lotus,2,140,53.6
ord0913,Orchid,1,800,58.0
ord0914,Tulip,1,940,36.0
ord0915,Tulip,1,700,32.2
ord0916,Orchid,2,670,98.7
ord0917,Tulip,1,340,31.1
ord0918,Lotus,2,130,35.2
ord0919,Tulip,2,940,32.0
ord0920,Lotus,2,310,42.4
ord0921,Rose,2,740,44.3
ord0922,Lavender,1,390,47.9
ord0923,Rose,1,340,50.1
ord0924,Lotus,2,180,53.8
ord0925,Lavender,1,960,34.2
ord0926,Orchid,1,110,62.4
ord0927,Orchid,2,180,97.8
ord0928,Lotus,1,110,31.8
ord0929,Lotus,2,990,58.9
ord0930,Rose,1,240,43.7
ord0931,Tulip,1,20,25.8
ord0932,Lotus,2,340,43.6
ord0933,Lavender,1,370,22.8
ord0934,Orchid,2,920,84.5
ord0935,Orchid,2,940,61.7
ord0936,Orchid,1,560,92.2
ord0937,Tulip,1,370,39.9
ord0938,Tulip,2,850,43.3
ord0939,Rose,2,960,62.2
ord0940,Lotus,1,740,58.8
ord0941,Rose,2,600,49.0
ord0942,Lotus,2,10,55.0
ord0943,Lotus,2,370,36.0
ord0944,Lavender,2,610,33.3
ord0945,Tulip,1,760,43.9
ord0946,Rose,1,490,71.2
ord0947,Lotus,1,320,50.9
ord0948,Lotus,1,920,56.2
ord0949,Orchid,2,810,95.6
ord0950,Lotus,2,220,30.6
ord0951,Rose,1,620,55.3
ord0952,Tulip,1,90,28.2
ord0953,Orchid,1,620,74.4
ord0954,Lotus,2,610,31.2
ord0955,Orchid,1,540,96.6
ord0956,Orchid,2,170,82.6
ord0957,Orchid,2,980,73.0
ord0958,Lavender,2,580,28.7
ord0959,Lavender,2,240,39.8
ord0960,Rose,1,660,52.8
ord0961,Rose,2,940,79.2
ord0962,Tulip,2,420,20.1
ord0963,Orchid,2,690,56.8
ord0964,Lavender,2,280,32.7
ord0965,Rose,1,680,60.5
ord0966,Lavender,1,130,34.5
ord0967,Tulip,2,600,37.8
ord0968,Tulip,2,200,26.0
ord0969,Lotus,2,70,37.6
ord0970,Tulip,2,650,30.3
ord0971,Tulip,1,950,44.0
ord0972,Tulip,2,170,39.6
ord0973,Lotus,2,310,48.2
ord0974,Rose,2,50,69.9
ord0975,Tulip,1,570,23.5
ord0976,Orchid,2,350,93.8
ord0977,Tulip,2,530,30.9
ord0978,Orchid,1,960,96.2
ord0979,Lotus,1,210,57.6
ord0980,Orchid,1,820,82.6
ord0981,Orchid,2,270,56.5
ord0982,Lavender,2,490,22.1
ord0983,Tulip,2,350,33.7
ord0984,Rose,1,950,48.5
ord0985,Rose,2,550,40.5
ord0986,Lavender,2,190,31.3
ord0987,Lavender,1,380,25.8
ord0988,Orchid,2,470,71.9
ord0989,Lotus,1,960,50.1
ord0990,Lavender,1,170,39.3
ord0991,Rose,1,70,52.1
ord0992,Lotus,2,640,55.9
ord0993,Rose,2,970,54.8
ord0994,Orchid,2,830,66.0
ord0995,Tulip,2,790,23.4
ord0996,Rose,1,630,46.9
ord0997,Rose,1,50,62.1
ord0998,Lotus,1,870,31.0
ord0999,Orchid,1,280,89.7
ord1000,Orchid,2,10,90.7
